reference,systeme reel,terme integral,observateur,observateur et terme integral
-1,-0.925024503556995,-0.977384381116825,-0.977384381116825,-0.994837673636768
-1,-0.942477796076938,-0.977384381116825,-0.994837673636768,-0.994837673636768
-1,-0.942477796076938,-0.977384381116825,-0.994837673636768,-1.01229096615671
-1,-0.959931088596881,-0.977384381116825,-1.01229096615671,-1.01229096615671
-1,-0.959931088596881,-0.977384381116825,-1.01229096615671,-1.01229096615671
-1,-0.977384381116825,-0.977384381116825,-1.02974425867665,-1.01229096615671
-1,-0.994837673636768,-0.994837673636768,-1.02974425867665,-1.01229096615671
-1,-1.01229096615671,-0.994837673636768,-1.0471975511966,-1.01229096615671
-1,-1.01229096615671,-0.994837673636768,-1.0471975511966,-1.01229096615671
-1,-1.02974425867665,-0.994837673636768,-1.06465084371654,-1.01229096615671
-1,-1.0471975511966,-0.994837673636768,-1.06465084371654,-0.994837673636768
-1,-1.0471975511966,-1.01229096615671,-1.06465084371654,-0.994837673636768
-1,-1.06465084371654,-1.01229096615671,-1.06465084371654,-0.994837673636768
-1,-1.06465084371654,-1.01229096615671,-1.08210413623648,-0.994837673636768
-1,-1.08210413623648,-1.02974425867665,-1.08210413623648,-0.994837673636768
-1,-1.08210413623648,-1.02974425867665,-1.08210413623648,-0.994837673636768
-1,-1.08210413623648,-1.02974425867665,-1.06465084371654,-0.994837673636768
-1,-1.09955742875643,-1.02974425867665,-1.06465084371654,-0.994837673636768
-1,-1.09955742875643,-1.01229096615671,-1.06465084371654,-0.994837673636768
-1,-1.09955742875643,-1.01229096615671,-1.06465084371654,-0.994837673636768
-1,-1.09955742875643,-1.01229096615671,-1.0471975511966,-0.994837673636768
-1,-1.09955742875643,-1.01229096615671,-1.0471975511966,-0.994837673636768
-1,-1.08210413623648,-1.01229096615671,-1.0471975511966,-0.994837673636768
-1,-1.08210413623648,-0.994837673636768,-1.02974425867665,-1.01229096615671
-1,-1.08210413623648,-0.994837673636768,-1.02974425867665,-1.01229096615671
-1,-1.06465084371654,-0.994837673636768,-1.01229096615671,-1.01229096615671
-1,-1.06465084371654,-0.977384381116825,-1.01229096615671,-1.01229096615671
-1,-1.0471975511966,-0.977384381116825,-0.994837673636768,-1.01229096615671
-1,-1.0471975511966,-0.977384381116825,-0.994837673636768,-1.01229096615671
-1,-1.02974425867665,-0.977384381116825,-0.977384381116825,-1.01229096615671
-1,-1.01229096615671,-0.977384381116825,-0.977384381116825,-1.01229096615671
-1,-1.01229096615671,-0.977384381116825,-0.959931088596881,-1.01229096615671
-1,-0.994837673636768,-0.977384381116825,-0.959931088596881,-0.994837673636768
-1,-0.994837673636768,-0.977384381116825,-0.959931088596881,-0.994837673636768
-1,-0.977384381116825,-0.994837673636768,-0.942477796076938,-0.994837673636768
-1,-0.977384381116825,-0.994837673636768,-0.942477796076938,-0.977384381116825
-1,-0.959931088596881,-0.994837673636768,-0.942477796076938,-0.977384381116825
-1,-0.959931088596881,-0.994837673636768,-0.925024503556995,-0.977384381116825
-1,-0.942477796076938,-1.01229096615671,-0.925024503556995,-0.977384381116825
-1,-0.942477796076938,-1.01229096615671,-0.925024503556995,-0.994837673636768
-1,-0.942477796076938,-1.01229096615671,-0.942477796076938,-0.994837673636768
-1,-0.942477796076938,-1.01229096615671,-0.942477796076938,-0.994837673636768
-1,-0.925024503556995,-1.02974425867665,-0.942477796076938,-0.994837673636768
-1,-0.942477796076938,-1.02974425867665,-0.942477796076938,-0.994837673636768
-1,-0.942477796076938,-1.02974425867665,-0.942477796076938,-1.01229096615671
-1,-0.942477796076938,-1.01229096615671,-0.942477796076938,-1.01229096615671
-1,-0.942477796076938,-1.01229096615671,-0.959931088596881,-1.01229096615671
-1,-0.942477796076938,-1.01229096615671,-0.959931088596881,-1.01229096615671
-1,-0.942477796076938,-1.01229096615671,-0.959931088596881,-1.01229096615671
-1,-0.942477796076938,-1.01229096615671,-0.977384381116825,-1.01229096615671
-1,-0.942477796076938,-1.01229096615671,-0.977384381116825,-1.01229096615671
-1,-0.959931088596881,-0.994837673636768,-0.994837673636768,-1.01229096615671
-1,-0.959931088596881,-0.994837673636768,-0.994837673636768,-1.01229096615671
-1,-0.959931088596881,-0.994837673636768,-0.994837673636768,-0.994837673636768
-1,-0.977384381116825,-0.994837673636768,-1.01229096615671,-0.994837673636768
-1,-0.977384381116825,-0.977384381116825,-1.01229096615671,-0.994837673636768
-1,-0.994837673636768,-0.977384381116825,-1.02974425867665,-0.977384381116825
-1,-0.994837673636768,-0.977384381116825,-1.02974425867665,-0.977384381116825
-1,-0.994837673636768,-0.977384381116825,-1.02974425867665,-0.977384381116825
-1,-1.01229096615671,-0.977384381116825,-1.0471975511966,-0.994837673636768
-1,-1.01229096615671,-0.977384381116825,-1.0471975511966,-0.994837673636768
-1,-1.02974425867665,-0.977384381116825,-1.06465084371654,-0.994837673636768
-1,-1.02974425867665,-0.994837673636768,-1.06465084371654,-0.994837673636768
-1,-1.02974425867665,-0.994837673636768,-1.06465084371654,-0.994837673636768
-1,-1.02974425867665,-0.994837673636768,-1.06465084371654,-1.01229096615671
-1,-1.0471975511966,-0.994837673636768,-1.06465084371654,-1.01229096615671
-1,-1.0471975511966,-0.994837673636768,-1.06465084371654,-1.01229096615671
-1,-1.0471975511966,-1.01229096615671,-1.06465084371654,-1.01229096615671
-1,-1.0471975511966,-1.01229096615671,-1.06465084371654,-1.01229096615671
-1,-1.0471975511966,-1.01229096615671,-1.06465084371654,-1.01229096615671
-1,-1.0471975511966,-1.01229096615671,-1.06465084371654,-1.01229096615671
-1,-1.02974425867665,-1.02974425867665,-1.0471975511966,-1.01229096615671
-1,-1.02974425867665,-1.02974425867665,-1.0471975511966,-1.01229096615671
-1,-1.02974425867665,-1.02974425867665,-1.0471975511966,-0.994837673636768
-1,-1.02974425867665,-1.01229096615671,-1.02974425867665,-0.994837673636768
-1,-1.02974425867665,-1.01229096615671,-1.02974425867665,-0.994837673636768
-1,-1.02974425867665,-1.01229096615671,-1.02974425867665,-0.977384381116825
-1,-1.01229096615671,-1.01229096615671,-1.01229096615671,-0.977384381116825
-1,-1.01229096615671,-1.01229096615671,-1.01229096615671,-0.977384381116825
-1,-1.01229096615671,-1.01229096615671,-0.994837673636768,-0.994837673636768
-1,-0.994837673636768,-0.994837673636768,-0.994837673636768,-0.994837673636768
-1,-0.994837673636768,-0.994837673636768,-0.977384381116825,-0.994837673636768
-1,-0.994837673636768,-0.994837673636768,-0.977384381116825,-0.994837673636768
-1,-0.977384381116825,-0.977384381116825,-0.977384381116825,-0.994837673636768
-1,-0.977384381116825,-0.977384381116825,-0.959931088596881,-1.01229096615671
-1,-0.977384381116825,-0.977384381116825,-0.959931088596881,-1.01229096615671
-1,-0.977384381116825,-0.977384381116825,-0.959931088596881,-1.01229096615671
-1,-0.977384381116825,-0.977384381116825,-0.942477796076938,-1.01229096615671
-1,-0.977384381116825,-0.977384381116825,-0.942477796076938,-1.01229096615671
-1,-0.977384381116825,-0.977384381116825,-0.942477796076938,-1.01229096615671
-1,-0.977384381116825,-0.994837673636768,-0.942477796076938,-1.01229096615671
-1,-0.994837673636768,-0.994837673636768,-0.942477796076938,-1.01229096615671
-1,-0.994837673636768,-0.994837673636768,-0.942477796076938,-1.01229096615671
-1,-0.994837673636768,-0.994837673636768,-0.942477796076938,-0.994837673636768
-1,-0.994837673636768,-0.994837673636768,-0.942477796076938,-0.994837673636768
-1,-0.994837673636768,-1.01229096615671,-0.942477796076938,-0.994837673636768
